disease,category,severity,specialist,description,causes,risk_factors,prevention,recovery_time,emergency_signs,contagious,self_care,diet,aliases
Peripheral Neuropathy,Neurological,High,Neurologist,Peripheral Neuropathy is a medical condition affecting the neurological system requiring proper evaluation and treatment by a Neurologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Neurologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","peripheral neuropathy, peripheral-neuropathy"
Peritonsillar Abscess,"ENT (Ear, Nose, Throat)",Moderate,ENT Specialist (Otolaryngologist),"Peritonsillar Abscess is a medical condition affecting the ent (ear, nose, throat) system requiring proper evaluation and treatment by a ENT Specialist (Otolaryngologist).","Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a ENT Specialist (Otolaryngologist).",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","peritonsillar abscess, peritonsillar-abscess"
Pharyngitis,"ENT (Ear, Nose, Throat)",Moderate,ENT Specialist (Otolaryngologist),"Pharyngitis is a medical condition affecting the ent (ear, nose, throat) system requiring proper evaluation and treatment by a ENT Specialist (Otolaryngologist).","Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a ENT Specialist (Otolaryngologist).",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","pharyngitis, pharyngitis"
Pleurisy,Respiratory,High,Pulmonologist / Chest Specialist,Pleurisy is a medical condition affecting the respiratory system requiring proper evaluation and treatment by a Pulmonologist / Chest Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Pulmonologist / Chest Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","pleurisy, pleurisy"
Pneumonia,Respiratory,High,Pulmonologist / Chest Specialist,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid. Can range from mild to life-threatening.","Bacteria (Streptococcus pneumoniae most common), viruses, fungi. Hospital-acquired forms often involve resistant bacteria.","Age >65 or <2, chronic lung disease, smoking, weakened immune system, hospitalization, recent surgery.","Pneumococcal vaccination, flu vaccination, good hygiene, avoid smoking, manage chronic conditions.",1-3 weeks for mild; 6-8 weeks for severe,"Severe difficulty breathing, chest pain, high fever >104°F, confusion, bluish lips/fingertips, coughing up blood.",Varies — bacterial pneumonia less so; viral pneumonia can be contagious,No — requires medical evaluation. Mild cases may be treated at home with prescribed antibiotics.,"Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","pneumonia, pneumonia"
Prostatitis,Urology & Nephrology,Moderate,Urologist / Nephrologist,Prostatitis is a medical condition affecting the urology & nephrology system requiring proper evaluation and treatment by a Urologist / Nephrologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Urologist / Nephrologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","prostatitis, prostatitis"
Psoriasis,Skin & Dermatology,Moderate,Dermatologist,"A chronic autoimmune skin condition causing rapid skin cell buildup, resulting in thick, silvery scales and itchy, dry, red patches.","Autoimmune — T-cells mistakenly attack healthy skin cells, accelerating skin cell production to 3-4 days instead of normal 3-4 weeks.","Family history, stress, infections (streptococcal), medications (lithium, beta-blockers), obesity, smoking, alcohol.","Manage stress, moisturize regularly, avoid skin trauma, limit alcohol, maintain healthy weight, avoid known triggers.",Chronic condition with flares and remissions. Flares may last weeks to months.,"Generalized redness covering most of the body (erythrodermic psoriasis), fever with widespread pustules, joint swelling with skin symptoms.",No,"Partial — moisturizers, coal tar products, limited sun exposure. Moderate-severe cases need prescription treatment.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","psoriasis, psoriasis"
Psoriatic Arthritis,Rheumatology & Autoimmune,High,Rheumatologist,Psoriatic Arthritis is a medical condition affecting the rheumatology & autoimmune system requiring proper evaluation and treatment by a Rheumatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Rheumatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","psoriatic arthritis, psoriatic-arthritis"
Pulmonary Embolism,Cardiovascular,Critical,Cardiologist,Pulmonary Embolism is a medical condition affecting the cardiovascular system requiring proper evaluation and treatment by a Cardiologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Cardiologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","pulmonary embolism, pulmonary-embolism"
Pyelonephritis,Urology & Nephrology,Moderate,Urologist / Nephrologist,Pyelonephritis is a medical condition affecting the urology & nephrology system requiring proper evaluation and treatment by a Urologist / Nephrologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Urologist / Nephrologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","pyelonephritis, pyelonephritis"
Raynaud Disease,Cardiovascular,Critical,Cardiologist,Raynaud Disease is a medical condition affecting the cardiovascular system requiring proper evaluation and treatment by a Cardiologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Cardiologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","raynaud disease, raynaud-disease"
Restless Leg Syndrome,General Medicine,Moderate,General Physician,Restless Leg Syndrome is a medical condition affecting the general medicine system requiring proper evaluation and treatment by a General Physician.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a General Physician.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","restless leg syndrome, restless-leg-syndrome"
Rheumatoid Arthritis,Rheumatology & Autoimmune,Moderate to High,Rheumatologist,"A chronic autoimmune disease where the immune system attacks joint linings, causing painful swelling, joint deformity, and systemic inflammation.",Autoimmune — immune system attacks synovial membrane of joints. Exact trigger unknown; involves genetic and environmental factors.,"Female sex, age 40-60, family history, smoking, obesity, environmental exposures (silica, asbestos).","No proven prevention. Quit smoking, maintain healthy weight, regular exercise. Early treatment prevents joint damage.",Chronic condition — early aggressive treatment can achieve remission. Flares may last weeks.,"Sudden loss of joint function, severe joint infection signs (red, hot, swollen single joint with fever), vasculitis symptoms, lung involvement.",No,"Partial — gentle exercise, joint protection, heat/cold therapy. Requires disease-modifying drugs (DMARDs) prescribed by rheumatologist.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","rheumatoid arthritis, rheumatoid-arthritis"
Ringworm,Skin & Dermatology,Moderate,Dermatologist,Ringworm is a medical condition affecting the skin & dermatology system requiring proper evaluation and treatment by a Dermatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Dermatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","ringworm, ringworm"
Rosacea,Skin & Dermatology,Moderate,Dermatologist,Rosacea is a medical condition affecting the skin & dermatology system requiring proper evaluation and treatment by a Dermatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Dermatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","rosacea, rosacea"
Rubella,Infectious Diseases,High,Infectious Disease Specialist,Rubella is a medical condition affecting the infectious diseases system requiring proper evaluation and treatment by a Infectious Disease Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Infectious Disease Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","rubella, rubella"
Scabies,Skin & Dermatology,Moderate,Dermatologist,Scabies is a medical condition affecting the skin & dermatology system requiring proper evaluation and treatment by a Dermatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Dermatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","scabies, scabies"
Scarlet Fever,Infectious Diseases,High,Infectious Disease Specialist,Scarlet Fever is a medical condition affecting the infectious diseases system requiring proper evaluation and treatment by a Infectious Disease Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Infectious Disease Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","scarlet fever, scarlet-fever"
Sciatica,Neurological,High,Neurologist,Sciatica is a medical condition affecting the neurological system requiring proper evaluation and treatment by a Neurologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Neurologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","sciatica, sciatica"
Seborrheic Dermatitis,Skin & Dermatology,Moderate,Dermatologist,Seborrheic Dermatitis is a medical condition affecting the skin & dermatology system requiring proper evaluation and treatment by a Dermatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Dermatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","seborrheic dermatitis, seborrheic-dermatitis"
Shingles,Skin & Dermatology,Moderate,Dermatologist,Shingles is a medical condition affecting the skin & dermatology system requiring proper evaluation and treatment by a Dermatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Dermatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","shingles, shingles"
Sinusitis,Respiratory,Low to Moderate,ENT Specialist (Otolaryngologist),"Inflammation of the paranasal sinuses causing facial pain, nasal congestion, thick nasal discharge, and reduced smell.","Viral infection (most common), bacterial infection, allergies, nasal polyps, deviated septum.","Allergic rhinitis, nasal polyps, deviated septum, smoking, dental infections, immunodeficiency.","Treat allergies promptly, use humidifier, nasal saline irrigation, avoid smoking, hand hygiene.",Acute: 7-10 days. Chronic: may require weeks of treatment.,"High fever >102°F, severe headache, visual changes, swelling around eyes, stiff neck.",Viral sinusitis: yes. Bacterial/allergic: no.,"Yes — saline rinse, steam, decongestants. See doctor if symptoms persist >10 days.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","sinusitis, sinusitis"
Sjogren Syndrome,Rheumatology & Autoimmune,High,Rheumatologist,Sjogren Syndrome is a medical condition affecting the rheumatology & autoimmune system requiring proper evaluation and treatment by a Rheumatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Rheumatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","sjogren syndrome, sjogren-syndrome"
Stye,Ophthalmology,Moderate,Ophthalmologist,Stye is a medical condition affecting the ophthalmology system requiring proper evaluation and treatment by a Ophthalmologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Ophthalmologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","stye, stye"
Tension Headache,Neurological,High,Neurologist,Tension Headache is a medical condition affecting the neurological system requiring proper evaluation and treatment by a Neurologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Neurologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","tension headache, tension-headache"
Tetanus,Infectious Diseases,High,Infectious Disease Specialist,Tetanus is a medical condition affecting the infectious diseases system requiring proper evaluation and treatment by a Infectious Disease Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Infectious Disease Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","tetanus, tetanus"
Tinea Versicolor,Skin & Dermatology,Moderate,Dermatologist,Tinea Versicolor is a medical condition affecting the skin & dermatology system requiring proper evaluation and treatment by a Dermatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Dermatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","tinea versicolor, tinea-versicolor"
Tinnitus,"ENT (Ear, Nose, Throat)",Moderate,ENT Specialist (Otolaryngologist),"Tinnitus is a medical condition affecting the ent (ear, nose, throat) system requiring proper evaluation and treatment by a ENT Specialist (Otolaryngologist).","Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a ENT Specialist (Otolaryngologist).",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","tinnitus, tinnitus"
Tonsillitis,"ENT (Ear, Nose, Throat)",Moderate,ENT Specialist (Otolaryngologist),"Tonsillitis is a medical condition affecting the ent (ear, nose, throat) system requiring proper evaluation and treatment by a ENT Specialist (Otolaryngologist).","Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a ENT Specialist (Otolaryngologist).",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","tonsillitis, tonsillitis"
Trigeminal Neuralgia,Neurological,High,Neurologist,Trigeminal Neuralgia is a medical condition affecting the neurological system requiring proper evaluation and treatment by a Neurologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Neurologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","trigeminal neuralgia, trigeminal-neuralgia"
Tuberculosis,Respiratory,High,Pulmonologist / Infectious Disease Specialist,"A serious bacterial infection that mainly affects the lungs, caused by Mycobacterium tuberculosis. Can spread to other organs.","Mycobacterium tuberculosis, spread through airborne droplets when an infected person coughs, sneezes, or speaks.","HIV/AIDS, weakened immunity, close contact with TB patients, malnutrition, diabetes, smoking, crowded living conditions.","BCG vaccination, identify and treat latent TB, avoid close contact with active TB patients, good ventilation.",6-9 months with full course of anti-TB drugs,"Coughing up large amounts of blood, severe chest pain, high persistent fever, extreme weight loss, confusion.","Yes (airborne, until 2-3 weeks into treatment)",No — requires supervised medical treatment (DOTS). Never stop medications early.,"Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","tuberculosis, tuberculosis"
Type 1 Diabetes,Endocrinology,Moderate,Endocrinologist,Type 1 Diabetes is a medical condition affecting the endocrinology system requiring proper evaluation and treatment by a Endocrinologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Endocrinologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","type 1 diabetes, type-1-diabetes"
Typhoid,Infectious Diseases,Moderate to High,Infectious Disease Specialist / General Physician,"A bacterial infection caused by Salmonella typhi, spread through contaminated food and water, causing prolonged fever and GI symptoms.","Salmonella typhi bacteria, transmitted through fecal-oral route via contaminated food, water, or close contact with infected person.","Travel to endemic areas, poor sanitation, contaminated water sources, street food consumption, lack of hand hygiene.","Typhoid vaccination before travel, drink safe water, eat thoroughly cooked food, hand hygiene, avoid street food in endemic areas.",2-4 weeks with antibiotics. Full recovery may take 4-6 weeks.,"Intestinal perforation (sudden severe abdominal pain), high fever >104°F for >2 weeks, intestinal bleeding, confusion, very slow heart rate.",Yes (fecal-oral route),"No — requires antibiotic treatment. Rest, hydration, and easily digestible food as supportive care.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","typhoid, typhoid"
Ulcerative Colitis,Gastroenterology,Moderate to High,Gastroenterologist,"A chronic inflammatory bowel disease affecting the colon and rectum, causing continuous mucosal inflammation with bloody diarrhea and abdominal pain.",Autoimmune — immune system attacks the colon lining. Genetic predisposition with environmental triggers.,"Family history, age 15-30, Ashkenazi Jewish heritage, cessation of smoking (paradoxically), Western diet.",No proven prevention. Regular colonoscopy screening for early detection of complications.,Chronic condition — flares typically last days to weeks. Long-term medication needed to maintain remission.,"Severe bloody diarrhea (>6 episodes/day), high fever, rapid heart rate, severe abdominal pain/distension, signs of dehydration.",No,"Partial — maintain remission with medication adherence, low-residue diet during flares. Active disease needs medical management.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","ulcerative colitis, ulcerative-colitis"
Urinary tract infection,Urology & Nephrology,Low to Moderate,Urologist / General Physician,"A bacterial infection in any part of the urinary system (bladder, urethra, ureters, kidneys). Most commonly affects the bladder (cystitis).",Bacteria (E. coli most common) entering the urinary tract through the urethra. Can ascend to kidneys if untreated.,"Female sex, sexual activity, certain contraceptives, menopause, urinary catheter, kidney stones, diabetes.","Drink plenty of water, urinate after intercourse, wipe front to back, avoid irritating feminine products, cranberry products may help.",Uncomplicated: 3-7 days with antibiotics. Kidney infection: 10-14 days.,"High fever with flank pain (kidney infection), blood in urine, severe pelvic pain, inability to urinate, nausea/vomiting.",No,"Partial — increase water intake, urinary analgesics. Antibiotics needed for cure. See doctor for confirmed diagnosis.","Balanced nutritious diet, adequate water intake, avoid heavy/processed foods.","urinary tract infection, urinary-tract-infection"
Urticaria,Skin & Dermatology,Moderate,Dermatologist,Urticaria is a medical condition affecting the skin & dermatology system requiring proper evaluation and treatment by a Dermatologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Dermatologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","urticaria, urticaria"
Uveitis,Ophthalmology,Moderate,Ophthalmologist,Uveitis is a medical condition affecting the ophthalmology system requiring proper evaluation and treatment by a Ophthalmologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Ophthalmologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","uveitis, uveitis"
Varicose veins,Cardiovascular,Critical,Cardiologist,Varicose veins is a medical condition affecting the cardiovascular system requiring proper evaluation and treatment by a Cardiologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Cardiologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","varicose veins, varicose-veins"
Vestibular Neuritis,"ENT (Ear, Nose, Throat)",Moderate,ENT Specialist (Otolaryngologist),"Vestibular Neuritis is a medical condition affecting the ent (ear, nose, throat) system requiring proper evaluation and treatment by a ENT Specialist (Otolaryngologist).","Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a ENT Specialist (Otolaryngologist).",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","vestibular neuritis, vestibular-neuritis"
Viral Fever,Infectious Diseases,High,Infectious Disease Specialist,Viral Fever is a medical condition affecting the infectious diseases system requiring proper evaluation and treatment by a Infectious Disease Specialist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Infectious Disease Specialist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","viral fever, viral-fever"
Vitamin D Deficiency,Endocrinology,Moderate,Endocrinologist,Vitamin D Deficiency is a medical condition affecting the endocrinology system requiring proper evaluation and treatment by a Endocrinologist.,"Multiple factors including genetic predisposition, infections, environmental factors, and lifestyle factors.","Weakened immune system, age, family history, chronic stress, poor diet, exposure to pathogens.","Maintain hygiene, get vaccinated where applicable, undergo regular health checkups. Consult a Endocrinologist.",Varies — consult specialist for accurate timeline.,"High persistent fever, severe chest pain, shortness of breath, sudden confusion, difficulty breathing.",Consult your doctor,Consult your doctor for personalized guidance.,"Hydration, balanced nutrient-dense diet, low sodium, avoid processed foods.","vitamin d deficiency, vitamin-d-deficiency"
